 adcode , adname , centerx    , centery    
371600, 滨州市 ,118.010943,37.382773
371700, 菏泽市 ,115.463474,35.246868
410100, 郑州市 ,113.659318,34.759092
410200, 开封市 ,114.335556,34.797888
410300, 洛阳市 ,112.428158,34.663983
410400, 平顶山市 ,113.30145,33.736693
410500, 安阳市 ,114.346434,36.103322
410600, 鹤壁市 ,114.289524,35.748316
410700, 新乡市 ,113.87805,35.303203
410800, 焦作市 ,113.231896,35.239525
410900, 濮阳市 ,115.035386,35.768219
411000, 许昌市 ,113.820097,34.024457
411100, 漯河市 ,114.02047,33.577332
411200, 三门峡市 ,111.18809,34.778299
411300, 南阳市 ,112.535093,33.001091
411400, 商丘市 ,115.645006,34.438425
411500, 信阳市 ,114.069149,32.125232
411600, 周口市 ,114.644288,33.622011
411700, 驻马店市 ,114.018864,32.982011
419001, 济源市 ,112.584104,35.091215
420100, 武汉市 ,114.293144,30.586788
420200, 黄石市 ,115.071581,30.222433
420300, 十堰市 ,110.782579,32.649066
420500, 宜昌市 ,111.285185,30.705071
420600, 襄阳市 ,112.138086,32.044409
420700, 鄂州市 ,114.885545,30.399223
420800, 荆门市 ,112.19842,31.037632
420900, 孝感市 ,113.92117,30.928896
421000, 荆州市 ,112.232414,30.32941
421100, 黄冈市 ,114.874308,30.450383
421200, 咸宁市 ,114.323553,29.83526
421300, 随州市 ,113.367566,31.719389
422800, 恩施土家族苗族自治州 ,109.482096,30.28566
429004, 仙桃市 ,113.447932,30.36735
429005, 潜江市 ,112.891282,30.423932
429006, 天门市 ,113.159831,30.655397
429021, 神农架林区 ,110.666458,31.746651
430100, 长沙市 ,112.97672,28.197509
430200, 株洲市 ,113.145923,27.838965
430300, 湘潭市 ,112.938632,27.833188
430400, 衡阳市 ,112.602465,26.903953
430500, 邵阳市 ,111.463655,27.241075
430600, 岳阳市 ,113.126883,29.37283
430700, 常德市 ,111.685762,29.043262
430800, 张家界市 ,110.474965,29.130243
430900, 益阳市 ,112.349342,28.573217
431000, 郴州市 ,113.026513,25.796525
431100, 永州市 ,111.602778,26.438111
431200, 怀化市 ,109.973639,27.553469
431300, 娄底市 ,112.002948,27.731426
433100, 湘西土家族苗族自治州 ,109.734999,28.317683
440100, 广州市 ,113.275295,23.127844
440200, 韶关市 ,113.586342,24.804375
440300, 深圳市 ,114.080817,22.549687
440400, 珠海市 ,113.548895,22.227941
440500, 汕头市 ,116.703946,23.373635
440600, 佛山市 ,113.117231,23.031308
440700, 江门市 ,113.089485,22.593116
440800, 湛江市 ,110.360478,21.277279
440900, 茂名市 ,110.914735,21.662535
441200, 肇庆市 ,112.46728,23.05417
441300, 惠州市 ,114.407625,23.08191
441400, 梅州市 ,116.112743,24.301735
441500, 汕尾市 ,115.35932,22.777144
441600, 河源市 ,114.693114,23.74893
441700, 阳江市 ,111.970066,21.861989
441800, 清远市 ,113.045768,23.687502
441900, 东莞市 ,113.741056,23.048943
442000, 中山市 ,113.376919,22.523814
442100, 东沙群岛 ,116.883342,20.620474
445100, 潮州市 ,116.627927,23.664443
445200, 揭阳市 ,116.351056,23.546207
445300, 云浮市 ,112.03913,22.932464
450100, 南宁市 ,108.316022,22.82679
450200, 柳州市 ,109.407094,24.317298
450300, 桂林市 ,110.294524,25.277041
450400, 梧州市 ,111.292468,23.477377
450500, 北海市 ,109.114959,21.475725
450600, 防城港市 ,108.34151,21.617114
450700, 钦州市 ,108.620478,21.970055
450800, 贵港市 ,109.59795,23.096502
450900, 玉林市 ,110.149865,22.634108
451000, 百色市 ,106.612877,23.900645
451100, 贺州市 ,111.546908,24.417144
451200, 河池市 ,108.057879,24.698683
451300, 来宾市 ,109.22547,23.736402
451400, 崇左市 ,107.349793,22.406879
460100, 海口市 ,110.326829,20.034028
460200, 三亚市 ,109.504161,18.249553
460300, 三沙市 ,112.343898,16.83266
460400, 儋州市 ,109.572766,19.519452
469001, 五指山市 ,109.512556,18.778704
469002, 琼海市 ,110.462408,19.247626
469005, 文昌市 ,110.749529,19.614823
469006, 万宁市 ,110.384389,18.797778
469007, 东方市 ,108.650168,19.103833
469021, 定安县 ,110.344852,19.686722
469022, 屯昌县 ,110.09837,19.364471
469023, 澄迈县 ,110.002911,19.739004
469024, 临高县 ,109.683541,19.910415
469025, 白沙黎族自治县 ,109.448311,19.22617
469026, 昌江黎族自治县 ,109.049247,19.262556
469027, 乐东黎族自治县 ,109.171339,18.749229
469028, 陵水黎族自治县 ,110.032953,18.506644
469029, 保亭黎族苗族自治县 ,109.698328,18.638164
469030, 琼中黎族苗族自治县 ,109.835918,19.037406
500100, 重庆市市辖区 ,106.50111,29.535873
510100, 成都市 ,104.063227,30.661881
510300, 自贡市 ,104.770747,29.355605
510400, 攀枝花市 ,101.714408,26.583992
510500, 泸州市 ,105.439743,28.892147
510600, 德阳市 ,104.395967,31.130127
510700, 绵阳市 ,104.738945,31.466212
510800, 广元市 ,105.82601,32.436028
510900, 遂宁市 ,105.567912,30.516089
511000, 内江市 ,105.062893,29.589643
511100, 乐山市 ,103.759048,29.584763
511300, 南充市 ,106.078965,30.797587
511400, 眉山市 ,103.829647,30.051101
511500, 宜宾市 ,104.628477,28.763628
511600, 广安市 ,106.629582,30.459176
511700, 达州市 ,107.497688,31.211704
511800, 雅安市 ,102.999222,29.990422
511900, 巴中市 ,106.749514,31.860981
512000, 资阳市 ,104.639479,30.125039
513200, 阿坝藏族羌族自治州 ,102.219684,31.902
513300, 甘孜藏族自治州 ,101.962281,30.053472
513400, 凉山彝族自治州 ,102.257226,27.890174
520100, 贵阳市 ,106.709699,26.581858
520200, 六盘水市 ,104.844209,26.588279
520300, 遵义市 ,106.933421,27.71014
520400, 安顺市 ,105.928844,26.249087
520500, 毕节市 ,105.281785,27.30506
